gm-1  | INFO:     Started server process [7]
gm-1  | INFO:     Waiting for application startup.
gm-1  | INFO:     Server starting... Swagger UI: http://localhost:8020/docs
gm-1  | INFO:     Attempting to connect to database at: postgres:5432
gm-1  | INFO:     Application startup complete.
gm-1  | INFO:     Uvicorn running on http://0.0.0.0:8020 (Press CTRL+C to quit)
gm-1  | INFO:     Connected to database and initialized schema: gm_db
gm-1  | INFO:     127.0.0.1:50016 - "GET /health HTTP/1.1" 200 OK
gm-1  | INFO:     127.0.0.1:42026 - "GET /health HTTP/1.1" 200 OK
gm-1  | INFO:     172.21.0.9:37360 - "POST /api/v1/game/summary HTTP/1.1" 200 OK
gm-1  | INFO:     127.0.0.1:42536 - "GET /health HTTP/1.1" 200 OK
gm-1  | INFO:     172.21.0.9:37360 - "POST /api/v1/game/turn HTTP/1.1" 200 OK
gm-1  | INFO:     172.21.0.9:37360 - "POST /api/v1/game/turn HTTP/1.1" 200 OK
gm-1  | INFO:     127.0.0.1:51738 - "GET /health HTTP/1.1" 200 OK
gm-1  | INFO:     172.21.0.9:37360 - "POST /api/v1/game/turn HTTP/1.1" 200 OK
gm-1  | INFO:     172.21.0.9:37360 - "POST /api/v1/game/turn HTTP/1.1" 200 OK
gm-1  | INFO:     127.0.0.1:44570 - "GET /health HTTP/1.1" 200 OK
gm-1  | INFO:     172.21.0.9:37360 - "POST /api/v1/game/turn HTTP/1.1" 200 OK
gm-1  | INFO:     127.0.0.1:59970 - "GET /health HTTP/1.1" 200 OK
gm-1  | INFO:     127.0.0.1:35566 - "GET /health HTTP/1.1" 200 OK
